,,,"2021-22 School Grades - As of February 13, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Legend for School Types: 01=Elementary; 02=Middle; 03=High; 04=Combination ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Additional information is available in the School Grades calculations guide at http://www.fldoe.org/accountability/accountability-reporting/school-grades/. *Pursuant to FDOE Emergency Order No. 2021-EO-02, only schools for which an opt-in request was submitted by the school district superintendent or charter school governing board have a letter grade assigned for the 2020-21 school year.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District Number,District Name,School Number,School Name,English Language Arts Achievement,English Language Arts Learning Gains,English Language Arts Learning Gains of the Lowest 25%,Mathematics Achievement,Mathematics Learning Gains,Mathematics Learning Gains of the Lowest 25%,Science Achievement,Social Studies Achievement,Middle School Acceleration,Graduation Rate 2020-21,College and Career Acceleration 2020-21,Total Points Earned,Total Components,Percent of Total Possible Points,Percent Tested,Grade 2022,Optional Grade 2021*,Grade 2019,Grade 2018,Grade 2017,Grade 2016,Informational Baseline Grade 2015,Grade 2014,Grade 2013,Grade 2012,Grade 2011,Grade 2010,Grade 2009,Grade 2008,Grade 2007,Grade 2006,Grade 2005,Grade 2004,Grade 2003,Grade 2002,Grade 2001,Grade 2000,Grade 1999,Was the collocated rule used?,Collocated Number,Charter School,Title I,Alternative/ESE Center School,School Type,Percent of Minority Students,Percent of Economically Disadvantaged Students
05,BREVARD,6071,OCEAN BREEZE ELEMENTARY SCHOOL,77,72,69,81,79,69,74,,,,,521,7,74,97,A,,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,N,,NO,NO,N,01,18.6,26.2
05,BREVARD,6081,INDIALANTIC ELEMENTARY SCHOOL,83,64,57,80,78,63,73,,,,,498,7,71,97,A,,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,N,,NO,NO,N,01,19.2,23.7
05,BREVARD,6082,HERBERT C. HOOVER MIDDLE SCHOOL,64,51,35,65,44,38,69,78,75,,,519,9,58,96,B,,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,N,,NO,NO,N,02,19.6,37.9
05,BREVARD,6101,GEMINI ELEMENTARY SCHOOL,83,70,67,85,82,75,76,,,,,538,7,77,99,A,,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,N,,NO,NO,N,01,9.4,20.5
05,BREVARD,6141,DR. W.J. CREEL ELEMENTARY SCHOOL,40,47,33,44,50,40,24,,,,,278,7,40,99,D,,C,D,B,C,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,C,N,,NO,YES,N,01,53.3,100
05,BREVARD,6501,PALM BAY ACADEMY CHARTER SCHOOL,43,49,37,43,66,71,48,39,57,,,453,9,50,95,C,,C,C,B,C,B,A,A,A,B,A,A,A,A,A,A,A,A,N,,,,N,,YES,YES,N,04,74.4,100
05,BREVARD,6507,ODYSSEY CHARTER SCHOOL,60,52,43,67,55,48,60,81,48,97,43,654,11,59,97,B,A,A,B,B,A,A,B,A,A,B,A,A,A,A,A,B,A,A,N,,,,N,,YES,YES,N,04,55.3,70.5
05,BREVARD,6508,SCULPTOR CHARTER SCHOOL,68,59,44,68,69,66,58,90,71,,,593,9,66,100,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,N,,,N,,YES,NO,N,04,18,21.5
05,BREVARD,6509,ROYAL PALM CHARTER SCHOOL,53,51,50,59,69,58,55,73,23,,,491,9,55,99,B,,C,C,C,C,C,A,B,A,B,A,A,A,,,,,,,,,,N,,YES,YES,N,04,41.9,74.3
05,BREVARD,6511,EDUCATIONAL HORIZONS CHARTER,77,50,,88,85,,,,,,,300,4,75,99,A,A,A,A,A,A,B,B,,,,,,,,,,,,,,,,N,,YES,NO,N,01,43.1,36.1
05,BREVARD,6515,IMAGINE SCHOOLS AT WEST MELBOURNE,47,50,40,37,41,32,33,,,,,280,7,40,100,D,,B,C,C,D,F,F,D,D,F,C,C,C,D,C,C,,,,,,,N,,YES,YES,N,01,52.3,95.3
05,BREVARD,6523,EMMA JEWEL CHARTER ACADEMY,27,52,60,33,54,47,27,66,0,,,366,9,41,99,C,,C,C,C,D,F,F,,,,,,,,,,,,,,,,N,,YES,YES,N,04,95.2,100
05,BREVARD,6540,VIERA CHARTER SCHOOL,75,59,52,81,72,65,66,94,57,,,621,9,69,99,A,A,A,A,A,A,A,A,,,,,,,,,,,,,,,,N,,YES,NO,N,04,32.9,23.1
05,BREVARD,6541,ODYSSEY PREPARATORY CHARTER ACADEMY,61,74,72,60,52,44,69,,,,,432,7,62,99,A,,B,B,B,C,C,F,,,,,,,,,,,,,,,,N,,YES,YES,N,01,59.6,87.4
05,BREVARD,6543,PINEAPPLE COVE CLASSICAL ACADEMY,64,53,38,78,69,53,66,79,43,,,543,9,60,98,B,A,A,A,A,C,,,,,,,,,,,,,,,,,,N,,YES,NO,N,04,33.6,11.4
05,BREVARD,6554,PINEAPPLE COVE CLASSICAL ACADEMY AT WEST MELBOURNE,70,57,44,73,68,61,71,90,72,,,606,9,67,95,A,A,B,,,,,,,,,,,,,,,,,,,,,N,,YES,NO,N,04,30.5,26.8
05,BREVARD,6558,PINECREST ACADEMY SPACE COAST,69,61,44,70,61,37,61,90,82,,,575,9,64,97,A,A,,,,,,,,,,,,,,,,,,,,,,N,,YES,NO,N,04,38,17.4
05,BREVARD,7004,BREVARD VIRTUAL FRANCHISE,68,64,56,44,50,49,63,77,45,91,55,662,11,60,86,B,,B,A,,B,A,B,,,,,,,,,,,,,,,,N,,NO,NO,N,04,40.4,19.6
